Title: kubectl logs -n kong kong-controller-cd7757cdb-277gc
Timestamp: 2026-06-18T16:40:37

Command:
kubectl logs -n kong kong-controller-cd7757cdb-277gc --tail=200

Exit code: 0

Output:
2026-06-18T23:30:27Z	info	controllers.Dynamic/HTTPRoute	Starting EventSource	{"source": "kind source: *v1.CustomResourceDefinition", "v": 0}
2026-06-18T23:30:27Z	info	controllers.KongLicense	Starting EventSource	{"source": "channel source: 0xc000177500", "v": 0}
2026-06-18T23:30:27Z	info	controllers.Dynamic/GRPCRoute	Starting EventSource	{"source": "kind source: *v1.CustomResourceDefinition", "v": 0}
2026-06-18T23:30:27Z	info	controllers.KongLicense	Starting EventSource	{"source": "kind source: *v1alpha1.KongLicense", "v": 0}
2026-06-18T23:30:27Z	info	controllers.EndpointSlice	Starting Controller	{"v": 0}
2026-06-18T23:30:27Z	info	controllers.EndpointSlice	Starting workers	{"v": 0, "worker count": 1}
2026-06-18T23:30:27Z	info	controllers.Service	Starting Controller	{"v": 0}
2026-06-18T23:30:27Z	info	controllers.Service	Starting workers	{"v": 0, "worker count": 1}
2026-06-18T23:30:27Z	info	controller-runtime.cache	Warning: configuration.konghq.com/v1beta1 TCPIngress is deprecated	{"v": 0}
2026-06-18T23:30:27Z	info	controller-runtime.cache	Warning: configuration.konghq.com/v1 KongIngress is deprecated	{"v": 0}
2026-06-18T23:30:27Z	info	controller-runtime.cache	Warning: configuration.konghq.com/v1beta1 UDPIngress is deprecated	{"v": 0}
2026-06-18T23:30:27Z	info	controllers.KongAdminAPIService	Starting Controller	{"v": 0}
2026-06-18T23:30:27Z	info	controllers.KongAdminAPIService	Starting workers	{"v": 0, "worker count": 1}
2026-06-18T23:30:27Z	info	controllers.KongAdminAPIService	Reconciling Admin API EndpointSlice	{"v": 0, "namespace": "kong", "name": "kong-gateway-admin-z4xdg"}
2026-06-18T23:30:27Z	info	controllers.IngressClass.netv1	Starting Controller	{"v": 0}
2026-06-18T23:30:27Z	info	controllers.IngressClassParameters	Starting Controller	{"v": 0}
2026-06-18T23:30:27Z	info	controllers.IngressClassParameters	Starting workers	{"v": 0, "worker count": 1}
2026-06-18T23:30:27Z	info	controllers.IngressClass.netv1	Starting workers	{"v": 0, "worker count": 1}
2026-06-18T23:30:27Z	info	controllers.Ingress.netv1	Starting Controller	{"v": 0}
2026-06-18T23:30:27Z	info	controllers.Ingress.netv1	Starting workers	{"v": 0, "worker count": 1}
2026-06-18T23:30:27Z	info	controllers.configmaps	Starting Controller	{"v": 0}
2026-06-18T23:30:27Z	info	controllers.configmaps	Starting workers	{"v": 0, "worker count": 1}
2026-06-18T23:30:27Z	info	controllers.KongIngress	Starting Controller	{"v": 0}
2026-06-18T23:30:27Z	info	controllers.KongIngress	Starting workers	{"v": 0, "worker count": 1}
2026-06-18T23:30:27Z	info	controllers.Secrets	Starting Controller	{"v": 0}
2026-06-18T23:30:27Z	info	controllers.Secrets	Starting workers	{"v": 0, "worker count": 1}
2026-06-18T23:30:27Z	info	controllers.UDPIngress	Starting Controller	{"v": 0}
2026-06-18T23:30:27Z	info	controllers.UDPIngress	Starting workers	{"v": 0, "worker count": 1}
2026-06-18T23:30:27Z	info	controllers.KongConsumer	Starting Controller	{"v": 0}
2026-06-18T23:30:27Z	info	controllers.KongConsumer	Starting workers	{"v": 0, "worker count": 1}
2026-06-18T23:30:27Z	info	controllers.KongPlugin	Starting Controller	{"v": 0}
2026-06-18T23:30:27Z	info	controllers.KongPlugin	Starting workers	{"v": 0, "worker count": 1}
2026-06-18T23:30:27Z	info	controllers.TCPIngress	Starting Controller	{"v": 0}
2026-06-18T23:30:27Z	info	controllers.TCPIngress	Starting workers	{"v": 0, "worker count": 1}
2026-06-18T23:30:27Z	info	controllers.KongClusterPlugin	Starting Controller	{"v": 0}
2026-06-18T23:30:27Z	info	controllers.KongClusterPlugin	Starting workers	{"v": 0, "worker count": 1}
2026-06-18T23:30:27Z	info	controllers.KongConsumerGroup	Starting Controller	{"v": 0}
2026-06-18T23:30:27Z	info	controllers.KongConsumerGroup	Starting workers	{"v": 0, "worker count": 1}
2026-06-18T23:30:27Z	info	controllers.Dynamic/Gateway	Starting Controller	{"v": 0}
2026-06-18T23:30:27Z	info	controllers.Dynamic/Gateway	Starting workers	{"v": 0, "worker count": 1}
2026-06-18T23:30:27Z	info	controllers.KongVault	Starting Controller	{"v": 0}
2026-06-18T23:30:27Z	info	controllers.KongVault	Starting workers	{"v": 0, "worker count": 1}
2026-06-18T23:30:27Z	info	controllers.Dynamic/ReferenceGrant	Starting Controller	{"v": 0}
2026-06-18T23:30:27Z	info	controllers.Dynamic/ReferenceGrant	Starting workers	{"v": 0, "worker count": 1}
2026-06-18T23:30:27Z	info	controllers.KongUpstreamPolicy	Starting Controller	{"v": 0}
2026-06-18T23:30:27Z	info	controllers.KongUpstreamPolicy	Starting workers	{"v": 0, "worker count": 1}
2026-06-18T23:30:27Z	info	controllers.KongCustomEntity	Starting Controller	{"v": 0}
2026-06-18T23:30:27Z	info	controllers.KongCustomEntity	Starting workers	{"v": 0, "worker count": 1}
2026-06-18T23:30:27Z	info	controllers.Dynamic/HTTPRoute	Starting Controller	{"v": 0}
2026-06-18T23:30:27Z	info	controllers.Dynamic/HTTPRoute	Starting workers	{"v": 0, "worker count": 1}
2026-06-18T23:30:27Z	info	controllers.Dynamic/GRPCRoute	Starting Controller	{"v": 0}
2026-06-18T23:30:27Z	info	controllers.Dynamic/GRPCRoute	Starting workers	{"v": 0, "worker count": 1}
2026-06-18T23:30:27Z	info	controllers.KongLicense	Starting Controller	{"v": 0}
2026-06-18T23:30:27Z	info	controllers.KongLicense	Starting workers	{"v": 0, "worker count": 1}
2026-06-18T23:30:35Z	info	Successfully synced configuration to Kong	{"url": "https://10.101.5.9:8444", "update_strategy": "InMemory", "v": 0, "duration": "16ms"}
